Student Name,Age,Gender,Institute Name,Course Name,class_Type,Duration,Assignments submitted,projects submitted,Mock_Test,Attendance(in %),Certification obtained,Final score(in %),Placement status
Vivaan Tripathi,22,Male,SocialPrachar,Cloud Computing,Online,5 months,6,3,25,76,No Certification,89,Yes
Yash Mehta,22,Male,SocialPrachar,AI &ML,Online,6 months ,5,3,42,74,NASSCOM Certification,90,Yes
Aryan Tripathi,22,Female ,SocialPrachar,Data Science,Offline,7 months,9,2,68,73,No Certification,81,No
Vivaan Gupta,22,Female ,Naresh i technologies,Robotics,Offline,6 months,6,1,61,82,IIT Madras Standard Course,68,Yes
Pooja Reddy,22,Female ,Naresh i technologies,Web Development,Online,5 months,10,1,39,88,Harvard University Professional Certificate,72,Yes
Aditya Verma,23,Male,Levelup,Cloud Computing,Offline,6 months,6,1,83,91,AWS Specialization,64,Yes
Vikram Chopra,25,Male ,Naresh i technologies,Robotics,Online,7 months,9,3,3,100,No Certification,77,No
Suman Kapoor,,Male,Levelup,Robotics,Offline,8 months,8,1,35,82,Harvard University Professional Certificate,83,No
Samar Reddy,22,Female ,Naresh i technologies,Data Science,Online,6 months,6,,20,73,NASSCOM Certification,63,Yes
Shivansh Naidu,24,Female ,Naresh i technologies,Web Development,Online,5 months,5,3,71,80,No Certification,97,No
Aryan Tripathi,24,Female ,Naresh i technologies,Ethical Hacking,Online,6 months ,70,2,62,75,AWS Specialization,84,No
Rudra Gupta,24,Male,Naresh i technologies,Cloud Computing,Online,7 months,5,2,70,98,No Certification,69,No
Om Bhat,25,Male,SocialPrachar,Software Testing,Offline,6 months,10,2,50,75,AWS Specialization,88,Yes
Laksh Joshi,23,Female ,SocialPrachar,Web Development,Offline,5 months,7,3,,95,NASSCOM Certification,80,No
Vikram Pillai,26,Female ,Levelup,Ethical Hacking,Offline,6 months,9,3,8,88,AWS Specialization,64,No
Rohan Deshmukh,24,Female ,Levelup,Ethical Hacking,Online,7 months,6,1,47,78,NASSCOM Certification,72,Yes
Arjun Gowda,25,Male,Naresh i technologies,Data Science,Online,8 months,6,1,43,71,Harvard University Professional Certificate,60,Yes
Shivansh Pandey,22,Male ,SocialPrachar,Cloud Computing,Offline,6 months,5,3,78,98,IIT Madras Standard Course,84,Yes
Riya Deshmukh,25,Male,SocialPrachar,Software Testing,Offline,5 months,8,1,89,92,AWS Specialization,87,No
Priya Tripathi,26,Female ,SocialPrachar,AI &ML,Online,5 months,10,,51,89,Harvard University Professional Certificate,65,Yes
Kabir Pandey,22,Female ,Naresh i technologies,Robotics,Online,6 months ,5,1,99,72,IIT Madras Standard Course,64,No
Om Nair,25,Female ,Naresh i technologies,Data Science,Offline,7 months,8,1,60,86,Harvard University Professional Certificate,98,Yes
Pooja Deshmukh,23,Male,SocialPrachar,Cloud Computing,Offline,6 months,10,3,56,100,Harvard University Professional Certificate,80,Yes
Aarohi Kapoor,22,Male,Naresh i technologies,Data Science,Online,5 months,7,1,65,73,No Certification,80,No
Harsh Deshmukh,24,Female ,SocialPrachar,Web Development,Offline,6 months,9,2,39,74,No Certification,89,No
Jhanvi Kapoor,,Female ,SocialPrachar,AI &ML,Offline,7 months,10,1,45,75,NASSCOM Certification,85,Yes
Shivansh Verma,22,Female ,SocialPrachar,Data Analytics,Online,8 months,10,1,58,90,No Certification,100,Yes
Ananya Venkatesh,22,Male,Naresh i technologies,Cybersecurity,Online,,10,3,53,98,No Certification,74,No
Jhanvi Mehta,22,Male ,SocialPrachar,Python Programming,Online,5 months,7,3,13,95,AWS Specialization,80,Yes
Ishita Malhotra,22,Male,Naresh i technologies,Software Testing,Offline,5 months,6,1,31,88,No Certification,79,No
Kunal Gupta,22,Female ,Naresh i technologies,Python Programming,Offline,6 months ,6,1,53,97,No Certification,81,No
Krishna Bhat,22,Female ,Naresh i technologies,Cloud Computing,Offline,7 months,5,2,1,93,No Certification,63,No
Shivansh Deshmukh,22,Female ,Naresh i technologies,Software Testing,Offline,6 months,10,1,,79,IIT Madras Standard Course,74,Yes
Ishita Gupta,23,Male,SocialPrachar,Cloud Computing,Online,5 months,9,2,49,73,Harvard University Professional Certificate,92,Yes
Yash Mehta,25,Male,Levelup,AI &ML,Online,6 months,7,2,61,99,No Certification,91,No
Sanya Malhotra,21,Female ,SocialPrachar,Python Programming,Offline,7 months,7,1,66,83,IIT Madras Standard Course,89,No
Gayatri Pillai,22,Female ,SocialPrachar,Cloud Computing,Online,8 months,10,1,77,98,AWS Specialization,82,Yes
Om Iyer,,Female ,SocialPrachar,Software Testing,Offline,6 months,8,1,64,98,No Certification,84,No
Neha Sharma,24,Male,Levelup,Data Analytics,Offline,5 months,9,1,58,93,NASSCOM Certification,95,Yes
Jhanvi Iyer,24,Male ,Levelup,Software Testing,Offline,5 months,5,2,86,71,AWS Specialization,79,No
Kunal Nair,25,Male,SocialPrachar,Cloud Computing,Online,6 months ,9,1,91,96,AWS Specialization,76,No
Kabir Chopra,23,Female ,SocialPrachar,Ethical Hacking,Offline,7 months,10,2,71,87,No Certification,85,Yes
Rudra Iyer,26,Female ,Levelup,Data Science,Online,6 months,10,1,5,83,NASSCOM Certification,85,No
Pooja Malhotra,24,Female ,Naresh i technologies,Data Analytics,Offline,5 months,5,2,97,85,IIT Madras Standard Course,92,Yes
Sanya Tripathi,25,Male,SocialPrachar,Software Testing,Offline,6 months,6,1,43,87,No Certification,90,Yes
Suman Sharma,22,Male,Levelup,Cloud Computing,Online,7 months,9,2,96,71,IIT Madras Standard Course,83,No
Harsh Gowda,25,Female ,Naresh i technologies,Data Analytics,Online,8 months,,2,18,98,No Certification,98,No
Sanya Naidu,26,Female ,SocialPrachar,Software Testing,Offline,6 months,7,3,19,78,AWS Specialization,86,Yes
Aditya Mehta,22,Female ,Naresh i technologies,Data Science,Online,5 months,7,2,52,70,Harvard University Professional Certificate,74,Yes
Aryan Chopra,,Male,Naresh i technologies,AI &ML,Offline,5 months,7,3,89,70,IIT Madras Standard Course,89,No
Isha Iyer,23,Male ,Levelup,Software Testing,Online,6 months ,5,2,22,82,No Certification,85,No
Diya Tripathi,22,Male,SocialPrachar,Cloud Computing,Online,7 months,5,3,13,79,No Certification,71,No
Shivansh Naidu,24,Female ,Naresh i technologies,Web Development,Online,6 months,6,3,5,99,AWS Specialization,72,Yes
Sai Pandey,25,Female ,Levelup,Robotics,Offline,5 months,9,2,0,83,No Certification,86,No
Suman Chopra,22,Female ,Naresh i technologies,Cloud Computing,Online,6 months,7,1,77,86,No Certification,63,No
Kunal Naidu,22,Male,Naresh i technologies,Software Testing,Offline,7 months,8,,84,79,NASSCOM Certification,99,No
Sai Nair,22,Male,Naresh i technologies,Python Programming,Offline,8 months,9,2,64,100,IIT Madras Standard Course,78,No
Arjun Bhat,22,Female ,SocialPrachar,Robotics,Offline,6 months,9,3,81,88,No Certification,69,Yes
Samar Gowda,22,Female ,Naresh i technologies,Software Testing,Offline,5 months,8,1,15,92,No Certification,77,Yes
Samar Pillai,22,Female ,Levelup,Ethical Hacking,Online,6 months,10,1,31,85,NASSCOM Certification,81,No
Aditya Kulkarni,22,Male,SocialPrachar,Data Science,Offline,5 months,6,2,46,99,NASSCOM Certification,79,No
Arjun Gowda,23,Male ,Naresh i technologies,AI &ML,Online,6 months,5,1,10,78,No Certification,74,No
Nirav Joshi,25,Male,Naresh i technologies,Python Programming,Online,7 months,10,3,45,97,No Certification,83,No
Vivaan Nair,21,Female ,Naresh i technologies,Robotics,Offline,8 months,10,2,65,92,No Certification,62,No
Om Venkatesh,22,Female ,SocialPrachar,Data Science,Online,6 months,8,3,95,87,IIT Madras Standard Course,80,No
Isha Reddy,24,Female ,SocialPrachar,AI &ML,Online,5 months,5,2,16,85,No Certification,84,Yes
Shivansh Venkatesh,24,Male,Levelup,AI &ML,Offline,5 months,,1,57,98,NASSCOM Certification,81,No
Aryan Joshi,,Male,SocialPrachar,Cybersecurity,Online,6 months ,8,3,88,99,IIT Madras Standard Course,73,No
Harsh Pillai,25,Female ,SocialPrachar,Ethical Hacking,Offline,7 months,7,1,97,89,IIT Madras Standard Course,70,Yes
Kunal Malhotra,23,Female ,SocialPrachar,Data Science,Online,6 months,8,3,,85,AWS Specialization,72,Yes
Diya Verma,26,Female ,Levelup,Data Analytics,Offline,5 months,9,1,16,77,NASSCOM Certification,83,No
Aditya Sharma,24,Male,Naresh i technologies,Web Development,Offline,6 months,9,2,32,92,NASSCOM Certification,63,No
Rudra Joshi,25,Male ,Levelup,Cloud Computing,Offline,7 months,6,1,31,95,Harvard University Professional Certificate,76,Yes
Sai Pillai,22,Male,Levelup,Ethical Hacking,Offline,8 months,9,2,54,77,AWS Specialization,78,Yes
Yash Nair,25,Female ,Levelup,Cloud Computing,Online,6 months,5,2,94,70,No Certification,75,No
Arjun Deshmukh,26,Female ,Levelup,AI &ML,Offline,5 months,10,1,22,75,No Certification,95,No
Aadhya Iyer,22,Female ,Naresh i technologies,Python Programming,Online,5 months,6,2,48,71,No Certification,82,Yes
Shruti Naidu,25,Male,Levelup,Software Testing,Offline,6 months ,,1,63,94,AWS Specialization,65,No
Meera Nair,23,Male,Levelup,Software Testing,Offline,7 months,9,1,6,91,No Certification,86,No
Gayatri Nair,22,Female ,Levelup,Python Programming,Offline,6 months,8,3,42,73,Harvard University Professional Certificate,65,No
Yash Naidu,24,Female ,SocialPrachar,AI &ML,Online,5 months,10,1,96,76,AWS Specialization,78,Yes
Aarohi Tripathi,25,Female ,SocialPrachar,AI &ML,Online,6 months,5,3,92,98,IIT Madras Standard Course,80,No
Meera Sharma,,Male,SocialPrachar,Cybersecurity,Online,7 months,8,2,70,79,AWS Specialization,100,Yes
Jhanvi Reddy,22,Male ,Naresh i technologies,Web Development,Offline,8 months,6,1,7,84,No Certification,69,No
Isha Verma,22,Male,Levelup,Web Development,Offline,6 months,6,2,,85,No Certification,97,No
Neha Mehta,22,Female ,SocialPrachar,Python Programming,Online,5 months,8,1,86,94,No Certification,78,Yes
Sai Gowda,22,Female ,Naresh i technologies,Cloud Computing,Online,5 months,8,2,72,71,Harvard University Professional Certificate,97,Yes
Vikram Sharma,22,Female ,Levelup,Ethical Hacking,Offline,6 months ,7,3,43,87,NASSCOM Certification,77,No
Vivaan Chopra,22,Male,Levelup,Cloud Computing,Offline,7 months,8,1,69,95,No Certification,74,No
Bhavna Naidu,23,Male,Naresh i technologies,Data Analytics,Offline,,8,1,54,78,IIT Madras Standard Course,93,Yes
Pooja Malhotra,25,Female ,Naresh i technologies,Data Science,Offline,5 months,5,2,20,99,No Certification,91,Yes
Om Mehta,21,Female ,Naresh i technologies,Cloud Computing,Offline,6 months,6,2,51,82,AWS Specialization,77,No
Priya Nair,22,Female ,Levelup,Data Analytics,Offline,7 months,6,1,7,96,No Certification,83,Yes
Gayatri Mehta,24,Male,SocialPrachar,Ethical Hacking,Online,8 months,6,2,38,88,Harvard University Professional Certificate,84,Yes
Ananya Joshi,24,Male ,SocialPrachar,Cybersecurity,Offline,6 months,7,2,55,93,AWS Specialization,86,No
Gayatri Reddy,24,Male,Naresh i technologies,Cybersecurity,Offline,5 months,5,2,13,94,AWS Specialization,65,No
Samar Pillai,25,Female ,Naresh i technologies,Robotics,Online,5 months,10,1,78,77,No Certification,98,Yes
Sanya Iyer,23,Female ,Levelup,Robotics,Online,6 months ,6,3,98,84,AWS Specialization,92,Yes
Kabir Pillai,26,Female ,Naresh i technologies,Cloud Computing,Online,7 months,7,3,65,82,AWS Specialization,69,No
Vivaan Malhotra,24,Male,Naresh i technologies,Cloud Computing,Online,6 months,,3,99,77,No Certification,84,Yes
Sai Chopra,25,Male,Naresh i technologies,Software Testing,Offline,5 months,7,1,73,98,AWS Specialization,60,No
Rudra Naidu,22,Female ,SocialPrachar,Data Analytics,Online,6 months,7,3,66,72,No Certification,71,Yes
Ananya Nair,25,Female ,Levelup,Python Programming,Offline,7 months,8,1,62,81,Harvard University Professional Certificate,72,Yes
Laksh Tripathi,26,Female ,Levelup,Cybersecurity,Offline,8 months,7,2,33,85,No Certification,87,No
Radha Bhat,22,Male,Levelup,AI &ML,Online,6 months,5,1,11,96,No Certification,66,Yes
Aarav Nair,25,Male ,SocialPrachar,Robotics,Offline,5 months,7,2,1,96,No Certification,71,Yes
Diya Venkatesh,23,Male,Naresh i technologies,Web Development,Online,6 months ,8,3,23,98,No Certification,79,No
Arjun Gupta,22,Female ,SocialPrachar,Robotics,Online,7 months,5,3,39,84,No Certification,99,Yes
Kabir Gupta,24,Female ,Naresh i technologies,AI &ML,Online,6 months,6,2,49,85,NASSCOM Certification,65,No
Kunal Mehta,25,Female ,SocialPrachar,Robotics,Offline,5 months,5,3,36,82,AWS Specialization,90,No
Neha Verma,22,Male,Levelup,Web Development,Online,6 months,9,3,82,80,No Certification,78,Yes
Ishita Kapoor,22,Male,Naresh i technologies,Data Science,Offline,7 months,5,1,15,86,No Certification,91,Yes
Ishita Sharma,22,Female ,Levelup,Robotics,Online,8 months,7,2,,81,IIT Madras Standard Course,70,Yes
Ishita Tripathi,22,Female ,Levelup,Data Analytics,Online,6 months,6,1,85,81,Harvard University Professional Certificate,78,Yes
Ishita Pandey,22,Female ,Naresh i technologies,Data Science,Offline,5 months,5,3,48,93,No Certification,74,No
Suman Venkatesh,22,Male,Levelup,Data Science,Online,5 months,8,1,77,97,IIT Madras Standard Course,91,Yes
Kabir Verma,22,Male ,Naresh i technologies,Data Science,Online,6 months ,6,2,13,81,AWS Specialization,69,Yes
Aadhya Chopra,23,Male,SocialPrachar,Robotics,Offline,7 months,8,2,66,91,No Certification,64,No
Jhanvi Kulkarni,,Female ,SocialPrachar,Cloud Computing,Offline,6 months,,2,84,100,IIT Madras Standard Course,63,No
Pooja Deshmukh,21,Female ,SocialPrachar,Robotics,Online,5 months,7,2,93,73,AWS Specialization,61,No
Ananya Gupta,22,Female ,SocialPrachar,Python Programming,Online,6 months,10,2,63,99,AWS Specialization,88,No
Kunal Chopra,24,Male,SocialPrachar,Software Testing,Online,7 months,8,3,32,74,No Certification,64,No
Tanvi Pillai,24,Male,Levelup,Software Testing,Online,8 months,8,2,74,76,IIT Madras Standard Course,75,No
Yash Tripathi,24,Female ,Levelup,Data Science,Online,6 months,7,1,89,98,AWS Specialization,82,Yes
Harsh Chopra,25,Female ,Levelup,Python Programming,Offline,5 months,8,3,89,73,NASSCOM Certification,77,Yes
Bhavna Kapoor,23,Female ,Levelup,Software Testing,Online,5 months,6,2,6,79,No Certification,66,No
Rudra Mehta,26,Male,Levelup,Web Development,Offline,6 months ,7,3,18,70,No Certification,86,No
Vivaan Nair,24,Male ,SocialPrachar,Cloud Computing,Offline,7 months,10,2,17,95,No Certification,78,Yes
Aarav Chopra,25,Male,Tech Academy,Robotics,Online,6 months,7,2,,99,No Certification,62,No
Rudra Pandey,22,Female ,SocialPrachar,Web Development,Online,5 months,8,2,16,88,No Certification,71,No
Nirav Nair,25,Female ,SocialPrachar,Ethical Hacking,Online,6 months,5,2,49,99,NASSCOM Certification,73,No
Neha Reddy,26,Female ,SocialPrachar,Data Science,Online,7 months,8,2,84,92,No Certification,71,No
Vivaan Chopra,22,Male,SocialPrachar,Data Science,Online,8 months,6,3,58,92,IIT Madras Standard Course,70,No
Neha Gowda,25,Male,Naresh i technologies,Cloud Computing,Offline,6 months,8,2,62,90,AWS Specialization,81,No
Ishita Deshmukh,23,Female ,Tech Academy,Data Analytics,Offline,5 months,7,3,43,98,No Certification,73,Yes
Aditya Verma,22,Female ,SocialPrachar,Ethical Hacking,Offline,5 months,10,1,30,100,No Certification,95,No
Sai Venkatesh,24,Female ,Tech Academy,Web Development,Offline,6 months ,8,1,23,84,No Certification,83,No
Sai Naidu,25,Male,Tech Academy,AI &ML,Offline,7 months,6,1,26,91,No Certification,94,Yes
Om Gupta,22,Male ,Tech Academy,Web Development,Online,6 months,8,3,71,99,Harvard University Professional Certificate,94,Yes
Nirav Bhat,22,Male,SocialPrachar,Data Science,Online,5 months,7,2,100,83,IIT Madras Standard Course,61,No
Arjun Nair,22,Female ,Levelup,Web Development,Offline,6 months,10,3,37,76,No Certification,75,Yes
Meera Pandey,22,Female ,Levelup,Data Analytics,Offline,7 months,10,3,74,99,NASSCOM Certification,60,Yes
Vikram Gupta,22,Female ,Levelup,Web Development,Online,8 months,8,3,59,94,No Certification,85,No
Dev Deshmukh,22,Male,Levelup,Python Programming,Online,6 months,9,1,75,91,Harvard University Professional Certificate,66,No
Vivaan Nair,22,Male,Tech Academy,Robotics,Online,5 months,8,3,59,87,No Certification,98,No
Krishna Malhotra,23,Female ,Levelup,Cloud Computing,Offline,5 months,10,2,93,81,Harvard University Professional Certificate,65,Yes
Vikram Tripathi,25,Female ,SocialPrachar,Python Programming,Online,6 months ,9,1,77,96,No Certification,60,No
Vikram Pandey,21,Female ,SocialPrachar,Data Science,Online,7 months,8,2,96,98,No Certification,92,No
Rohan Verma,,Male,SocialPrachar,Web Development,Offline,6 months,8,3,77,79,No Certification,63,No
Yash Sharma,24,Male ,Levelup,Data Science,Offline,5 months,5,2,18,71,Harvard University Professional Certificate,73,No
Rudra Verma,24,Male,Tech Academy,Data Science,Online,6 months,8,2,38,72,No Certification,97,Yes
Radha Mehta,24,Female ,SocialPrachar,Cloud Computing,Online,7 months,7,3,22,78,No Certification,82,Yes
Krishna Sharma,25,Female ,Levelup,Data Analytics,Offline,8 months,,3,47,73,No Certification,84,No
Priya Gupta,23,Female ,SocialPrachar,Cybersecurity,Online,6 months,6,2,59,83,No Certification,74,Yes
Meera Mehta,26,Male,Levelup,Ethical Hacking,Offline,5 months,6,3,56,72,No Certification,98,No
Bhavna Malhotra,24,Male,SocialPrachar,Cloud Computing,Online,7 months,9,1,24,72,No Certification,100,Yes
Kunal Reddy,25,Female ,Levelup,Ethical Hacking,Online,6 months,6,2,37,80,No Certification,74,No
Kavya Tripathi,22,Female ,SocialPrachar,Web Development,Online,5 months,8,2,27,91,No Certification,90,Yes
Vikram Bhat,25,Female ,Levelup,Python Programming,Offline,6 months,10,1,6,99,No Certification,84,Yes
Suman Deshmukh,26,Male,Levelup,Cloud Computing,Offline,7 months,10,1,64,89,NASSCOM Certification,93,No
Kunal Kapoor,22,Male ,SocialPrachar,Python Programming,Offline,8 months,8,1,80,70,IIT Madras Standard Course,99,Yes
Riya Bhat,25,Male,Levelup,Data Science,Online,6 months,6,1,48,98,No Certification,99,Yes
Radha Gupta,23,Female ,SocialPrachar,Python Programming,Offline,5 months,7,2,93,79,No Certification,90,No
Arjun Deshmukh,22,Female ,SocialPrachar,AI &ML,Offline,5 months,10,1,8,96,No Certification,89,Yes
Aarohi Gupta,24,Female ,SocialPrachar,Robotics,Offline,6 months ,9,1,6,88,No Certification,77,Yes
Priya Pandey,25,Male,SocialPrachar,Robotics,Online,7 months,10,3,73,80,No Certification,68,No
Priya Malhotra,,Male,SocialPrachar,Cybersecurity,Offline,6 months,7,2,69,76,No Certification,100,Yes
Pooja Nair,22,Female ,Tech Academy,Robotics,Offline,5 months,7,2,27,89,No Certification,61,Yes
Vikram Pandey,22,Female ,SocialPrachar,Software Testing,Offline,6 months,10,2,74,96,No Certification,76,Yes
Diya Tripathi,22,Female ,SocialPrachar,Ethical Hacking,Online,7 months,5,1,32,88,Harvard University Professional Certificate,80,Yes
Nirav Verma,22,Male,SocialPrachar,Cybersecurity,Online,8 months,7,3,32,83,No Certification,70,No
Sanya Nair,22,Male ,Levelup,AI &ML,Offline,6 months,8,1,19,82,Harvard University Professional Certificate,72,Yes
Shivansh Mehta,22,Male,Levelup,Data Analytics,Offline,5 months,10,3,88,90,NASSCOM Certification,77,No
Dev Gupta,23,Female ,SocialPrachar,Cloud Computing,Online,5 months,6,1,19,73,No Certification,91,No
Diya Venkatesh,25,Female ,SocialPrachar,Robotics,Online,6 months ,6,3,8,96,No Certification,60,No
Aadhya Kulkarni,21,Female ,SocialPrachar,Cybersecurity,Online,7 months,8,3,7,76,No Certification,82,No
Shivansh Verma,22,Male,SocialPrachar,Data Analytics,Offline,6 months,10,3,65,79,No Certification,75,No
Rudra Sharma,24,Male,Levelup,Python Programming,Online,,5,3,71,76,Harvard University Professional Certificate,76,No
Ishita Malhotra,24,Female ,Levelup,Software Testing,Online,6 months,7,2,72,95,NASSCOM Certification,79,Yes
Priya Sharma,24,Female ,CyberSecure Institute,Robotics,Offline,7 months,7,2,98,75,AWS Specialization,82,Yes
Diya Malhotra,25,Female ,SocialPrachar,Software Testing,Offline,8 months,8,1,8,77,No Certification,83,No
Shivansh Naidu,23,Male,Levelup,Web Development,Offline,6 months,7,2,0,86,No Certification,60,Yes
Neha Iyer,26,Male ,Tech Academy,Robotics,Offline,5 months,7,3,85,87,IIT Madras Standard Course,83,No
Ishita Bhat,24,Male,CyberSecure Institute,AI &ML,Offline,5 months,6,3,4,86,No Certification,87,No
Arjun Nair,25,Female ,Tech Academy,AI &ML,Online,6 months ,8,2,100,79,Harvard University Professional Certificate,87,Yes
Dev Pandey,25,Female ,CodeMasters,Python Programming,Offline,7 months,10,3,30,89,No Certification,80,No
Laksh Gupta,26,Female ,CyberSecure Institute,Data Science,Online,6 months,6,2,1,81,No Certification,86,Yes
Kabir Mehta,22,Male,Tech Academy,Cloud Computing,Online,5 months,7,3,50,85,No Certification,65,Yes
Kabir Mehta,25,Male,Tech Academy,Cybersecurity,Offline,6 months,5,2,58,83,No Certification,67,No
Vivaan Kapoor,23,Female ,SocialPrachar,AI &ML,Offline,7 months,10,3,22,88,Harvard University Professional Certificate,87,Yes
Isha Gowda,22,Female ,SocialPrachar,Python Programming,Online,8 months,8,3,100,81,NASSCOM Certification,80,No
Rohan Kapoor,24,Female ,CyberSecure Institute,Data Science,Offline,6 months,5,3,99,73,No Certification,78,No
Aadhya Iyer,25,Male,SocialPrachar,Robotics,Online,5 months,7,2,5,74,No Certification,72,No
Aarav Sharma,22,Male ,Tech Academy,Ethical Hacking,Offline,5 months,7,3,,92,No Certification,80,No
Isha Kapoor,22,Male,Tech Academy,Robotics,Online,6 months ,8,2,68,98,No Certification,63,No
Vikram Kulkarni,22,Female ,SocialPrachar,Robotics,Online,7 months,7,2,60,85,No Certification,94,No
Harsh Verma,22,Female ,SocialPrachar,Cloud Computing,Online,6 months,9,3,86,77,No Certification,60,No
Jhanvi Mehta,22,Female ,SocialPrachar,Data Analytics,Offline,5 months,10,3,27,78,No Certification,77,No
Harsh Kapoor,22,Male,SocialPrachar,Cybersecurity,Online,6 months,9,2,35,73,No Certification,84,Yes
Gayatri Gupta,22,Male,CodeMasters,Python Programming,Online,7 months,8,2,68,81,IIT Madras Standard Course,76,No
Harsh Deshmukh,23,Female ,CyberSecure Institute,AI &ML,Offline,8 months,8,2,19,73,No Certification,97,No
Vivaan Gowda,25,Female ,SocialPrachar,Data Analytics,Online,6 months,7,3,1,85,Harvard University Professional Certificate,69,Yes
Sanya Kapoor,21,Female ,Tech Academy,Software Testing,Online,5 months,10,2,76,81,No Certification,100,No
Radha Bhat,22,Male,Tech Academy,Cloud Computing,Offline,6 months ,5,1,57,85,AWS Specialization,81,No
